epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.396,1.81165,1.6122,1.0665,0.66765,0.55503,0.60633,0.28361,1.72379,1.49803,1.02978,0.00332837,0.00332837,0.0700446
2,260.599,1.78972,1.21539,1.04678,0.69208,0.54049,0.62288,0.30337,1.66485,1.30316,1.01909,0.00659576,0.00659576,0.0399787
3,390.829,1.82195,1.245,1.06065,0.57237,0.4651,0.49159,0.21781,1.85638,1.71082,1.10084,0.00979714,0.00979714,0.00984674
4,517.245,1.83616,1.22877,1.069,0.66511,0.55213,0.60553,0.27929,1.73596,1.8538,1.07218,0.009703,0.009703,0.009703
5,659.84,1.77627,1.15411,1.05799,0.71517,0.57002,0.6542,0.31766,1.71663,1.25717,1.06136,0.009604,0.009604,0.009604
6,798.375,1.72041,1.10045,1.03846,0.72202,0.5735,0.65759,0.32721,1.67067,1.28751,1.05636,0.009505,0.009505,0.009505
7,927.761,1.7015,1.06471,1.03088,0.746,0.60559,0.69708,0.3612,1.60725,1.2003,1.02933,0.009406,0.009406,0.009406
8,1056.17,1.67803,1.032,1.02506,0.7546,0.60468,0.69599,0.36032,1.58163,1.13677,1.0282,0.009307,0.009307,0.009307
9,1183.34,1.6501,1.01322,1.01721,0.74647,0.60929,0.69972,0.36326,1.59414,1.15449,1.03363,0.009208,0.009208,0.009208
10,1309.5,1.63129,0.98892,1.00993,0.74924,0.60962,0.69995,0.35147,1.63661,1.15819,1.04174,0.009109,0.009109,0.009109
11,1437.21,1.62218,0.9865,1.00714,0.75753,0.60783,0.71361,0.3749,1.56386,1.15524,1.02049,0.00901,0.00901,0.00901
12,1566.01,1.60368,0.96764,1.00229,0.76092,0.64698,0.73508,0.39082,1.54072,1.06671,1.00071,0.008911,0.008911,0.008911
13,1693.55,1.59228,0.95787,0.99985,0.77859,0.65295,0.74068,0.39579,1.50558,1.03836,1.00304,0.008812,0.008812,0.008812
14,1820.56,1.58153,0.94411,0.99667,0.79443,0.66018,0.75485,0.40257,1.50834,1.05644,1.00158,0.008713,0.008713,0.008713
15,1946.96,1.57234,0.93808,0.9917,0.77075,0.67047,0.74531,0.40424,1.52952,1.03276,1.00925,0.008614,0.008614,0.008614
16,2075.2,1.56117,0.92404,0.98539,0.78227,0.65705,0.74955,0.4064,1.48497,1.05593,0.98887,0.008515,0.008515,0.008515
17,2198.69,1.55665,0.91786,0.98679,0.78507,0.65973,0.75661,0.4137,1.47387,1.029,0.99671,0.008416,0.008416,0.008416
18,2321.28,1.54461,0.90979,0.98643,0.77453,0.67987,0.76653,0.42023,1.43808,0.96477,0.9773,0.008317,0.008317,0.008317
19,2442.16,1.53553,0.89939,0.9763,0.80189,0.65833,0.76709,0.42189,1.45778,0.99485,0.98342,0.008218,0.008218,0.008218
