epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.709,2.07546,2.50425,0.00365,0.45216,0.47114,0.42032,0.194,1.76578,1.98352,0.0038,0.00332837,0.00332837,0.0700446
2,230.131,2.00317,1.72264,0.00343,0.55141,0.49329,0.51978,0.26105,1.74978,1.66721,0.00383,0.00659576,0.00659576,0.0399787
3,335.499,2.00858,1.59717,0.00353,0.57851,0.54011,0.55224,0.26523,1.83041,1.75928,0.00424,0.00979714,0.00979714,0.00984674
4,441.093,2.04276,1.52362,0.00358,0.6314,0.56026,0.60457,0.29143,1.84112,1.69048,0.00412,0.009703,0.009703,0.009703
5,547.925,2.01717,1.44033,0.00359,0.67383,0.5606,0.64139,0.32981,1.7509,1.54478,0.00397,0.009604,0.009604,0.009604
6,654.028,1.98443,1.38203,0.00345,0.68669,0.57248,0.65006,0.32528,1.79494,1.54565,0.00406,0.009505,0.009505,0.009505
7,760.123,1.97962,1.33306,0.00345,0.6846,0.57114,0.65493,0.33551,1.79246,1.48536,0.00413,0.009406,0.009406,0.009406
8,866.889,1.97647,1.29266,0.00342,0.70796,0.6,0.67909,0.34641,1.82179,1.45499,0.00426,0.009307,0.009307,0.009307
9,974.264,1.94379,1.2761,0.00334,0.72904,0.617,0.69896,0.3605,1.76351,1.38058,0.00398,0.009208,0.009208,0.009208
10,1084.68,1.93043,1.23733,0.0033,0.71976,0.61366,0.7007,0.3719,1.72066,1.36377,0.00384,0.009109,0.009109,0.009109
11,1187.75,1.93239,1.22779,0.00333,0.72765,0.61767,0.69901,0.36906,1.77357,1.37376,0.00409,0.00901,0.00901,0.00901
12,1293.11,1.9233,1.2012,0.00332,0.75312,0.62307,0.72107,0.38008,1.77632,1.30582,0.00406,0.008911,0.008911,0.008911
13,1401.94,1.90574,1.18597,0.00326,0.75741,0.61969,0.72198,0.38239,1.75636,1.37629,0.00396,0.008812,0.008812,0.008812
